epochTimestamp,kWh,dateTime
1782864000,0.323,2026-07-01T00:00:00.000Z
1782865800,0.321,2026-07-01T00:30:00.000Z
1782867600,0.326,2026-07-01T01:00:00.000Z
1782869400,0.32,2026-07-01T01:30:00.000Z
1782871200,0.322,2026-07-01T02:00:00.000Z
1782873000,0.324,2026-07-01T02:30:00.000Z
1782874800,0.323,2026-07-01T03:00:00.000Z
1782876600,0.319,2026-07-01T03:30:00.000Z
1782878400,0.317,2026-07-01T04:00:00.000Z
1782880200,0.3,2026-07-01T04:30:00.000Z
1782882000,0.283,2026-07-01T05:00:00.000Z
1782883800,0.251,2026-07-01T05:30:00.000Z
1782885600,0.264,2026-07-01T06:00:00.000Z
1782887400,0.09,2026-07-01T06:30:00.000Z
1782889200,0.049,2026-07-01T07:00:00.000Z
1782891000,0.021,2026-07-01T07:30:00.000Z
1782892800,0.089,2026-07-01T08:00:00.000Z
1782894600,0.182,2026-07-01T08:30:00.000Z
1782896400,0.163,2026-07-01T09:00:00.000Z
1782898200,0.141,2026-07-01T09:30:00.000Z
1782900000,0.152,2026-07-01T10:00:00.000Z
1782901800,0.213,2026-07-01T10:30:00.000Z
1782903600,0.077,2026-07-01T11:00:00.000Z
1782905400,0.051,2026-07-01T11:30:00.000Z
1782907200,0.056,2026-07-01T12:00:00.000Z
1782909000,0.105,2026-07-01T12:30:00.000Z
1782910800,0.079,2026-07-01T13:00:00.000Z
1782912600,0.037,2026-07-01T13:30:00.000Z
1782914400,0.058,2026-07-01T14:00:00.000Z
1782916200,0.056,2026-07-01T14:30:00.000Z
1782918000,0.091,2026-07-01T15:00:00.000Z
1782919800,0.168,2026-07-01T15:30:00.000Z
1782921600,0.217,2026-07-01T16:00:00.000Z
1782923400,0.236,2026-07-01T16:30:00.000Z
1782925200,0.275,2026-07-01T17:00:00.000Z
1782927000,0.852,2026-07-01T17:30:00.000Z
1782928800,0.856,2026-07-01T18:00:00.000Z
1782930600,0.909,2026-07-01T18:30:00.000Z
1782932400,0.836,2026-07-01T19:00:00.000Z
1782934200,0.318,2026-07-01T19:30:00.000Z
1782936000,0.439,2026-07-01T20:00:00.000Z
1782937800,0.48,2026-07-01T20:30:00.000Z
1782939600,0.364,2026-07-01T21:00:00.000Z
1782941400,0.335,2026-07-01T21:30:00.000Z
1782943200,0.316,2026-07-01T22:00:00.000Z
1782945000,0.324,2026-07-01T22:30:00.000Z
1782946800,0.32,2026-07-01T23:00:00.000Z
1782948600,0.319,2026-07-01T23:30:00.000Z
1782950400,0.323,2026-07-02T00:00:00.000Z
1782952200,0.318,2026-07-02T00:30:00.000Z
1782954000,0.322,2026-07-02T01:00:00.000Z
1782955800,0.317,2026-07-02T01:30:00.000Z
1782957600,0.319,2026-07-02T02:00:00.000Z
1782959400,0.323,2026-07-02T02:30:00.000Z
1782961200,0.318,2026-07-02T03:00:00.000Z
1782963000,0.318,2026-07-02T03:30:00.000Z
1782964800,0.314,2026-07-02T04:00:00.000Z
1782966600,0.304,2026-07-02T04:30:00.000Z
1782968400,0.277,2026-07-02T05:00:00.000Z
1782970200,0.235,2026-07-02T05:30:00.000Z
1782972000,0.213,2026-07-02T06:00:00.000Z
1782973800,0.127,2026-07-02T06:30:00.000Z
1782975600,0.037,2026-07-02T07:00:00.000Z
