epochTimestamp,kWh,dateTime
1781389800,0.331,2026-06-13T22:30:00.000Z
1781391600,0.337,2026-06-13T23:00:00.000Z
1781393400,0.332,2026-06-13T23:30:00.000Z
1781395200,0.336,2026-06-14T00:00:00.000Z
1781397000,0.326,2026-06-14T00:30:00.000Z
1781398800,0.320,2026-06-14T01:00:00.000Z
1781400600,0.350,2026-06-14T01:30:00.000Z
1781402400,0.340,2026-06-14T02:00:00.000Z
1781404200,0.339,2026-06-14T02:30:00.000Z
1781406000,0.325,2026-06-14T03:00:00.000Z
1781407800,0.320,2026-06-14T03:30:00.000Z
1781409600,0.324,2026-06-14T04:00:00.000Z
1781411400,0.318,2026-06-14T04:30:00.000Z
1781413200,0.296,2026-06-14T05:00:00.000Z
1781415000,0.289,2026-06-14T05:30:00.000Z
1781416800,0.266,2026-06-14T06:00:00.000Z
1781418600,0.408,2026-06-14T06:30:00.000Z
1781420400,0.240,2026-06-14T07:00:00.000Z
1781422200,0.120,2026-06-14T07:30:00.000Z
1781424000,0.258,2026-06-14T08:00:00.000Z
1781425800,0.540,2026-06-14T08:30:00.000Z
1781427600,0.517,2026-06-14T09:00:00.000Z
1781429400,0.422,2026-06-14T09:30:00.000Z
1781431200,0.636,2026-06-14T10:00:00.000Z
1781433000,0.563,2026-06-14T10:30:00.000Z
1781434800,0.938,2026-06-14T11:00:00.000Z
1781436600,0.682,2026-06-14T11:30:00.000Z
1781438400,0.752,2026-06-14T12:00:00.000Z
1781440200,0.288,2026-06-14T12:30:00.000Z
1781442000,0.437,2026-06-14T13:00:00.000Z
1781443800,0.417,2026-06-14T13:30:00.000Z
1781445600,0.550,2026-06-14T14:00:00.000Z
1781447400,0.417,2026-06-14T14:30:00.000Z
1781449200,0.159,2026-06-14T15:00:00.000Z
1781451000,0.201,2026-06-14T15:30:00.000Z
1781452800,0.234,2026-06-14T16:00:00.000Z
1781454600,0.279,2026-06-14T16:30:00.000Z
1781456400,0.348,2026-06-14T17:00:00.000Z
1781458200,0.374,2026-06-14T17:30:00.000Z
1781460000,0.368,2026-06-14T18:00:00.000Z
1781461800,0.408,2026-06-14T18:30:00.000Z
1781463600,0.424,2026-06-14T19:00:00.000Z
1781465400,0.434,2026-06-14T19:30:00.000Z
1781467200,0.443,2026-06-14T20:00:00.000Z
1781469000,0.449,2026-06-14T20:30:00.000Z
1781470800,0.441,2026-06-14T21:00:00.000Z
1781472600,0.390,2026-06-14T21:30:00.000Z
1781474400,0.388,2026-06-14T22:00:00.000Z
1781476200,0.386,2026-06-14T22:30:00.000Z
1781478000,0.393,2026-06-14T23:00:00.000Z
1781479800,0.385,2026-06-14T23:30:00.000Z
1781481600,0.384,2026-06-15T00:00:00.000Z
1781483400,0.390,2026-06-15T00:30:00.000Z
1781485200,0.386,2026-06-15T01:00:00.000Z
1781487000,0.399,2026-06-15T01:30:00.000Z
1781488800,0.403,2026-06-15T02:00:00.000Z
1781490600,0.385,2026-06-15T02:30:00.000Z
1781492400,0.394,2026-06-15T03:00:00.000Z
1781494200,0.386,2026-06-15T03:30:00.000Z
1781496000,0.366,2026-06-15T04:00:00.000Z
1781497800,0.342,2026-06-15T04:30:00.000Z
1781499600,0.511,2026-06-15T05:00:00.000Z
1781501400,1.079,2026-06-15T05:30:00.000Z
1781503200,1.331,2026-06-15T06:00:00.000Z
1781505000,1.139,2026-06-15T06:30:00.000Z
1781506800,1.010,2026-06-15T07:00:00.000Z
1781508600,0.596,2026-06-15T07:30:00.000Z
1781510400,0.635,2026-06-15T08:00:00.000Z
1781512200,0.878,2026-06-15T08:30:00.000Z
1781514000,0.863,2026-06-15T09:00:00.000Z
1781515800,0.548,2026-06-15T09:30:00.000Z
1781517600,0.129,2026-06-15T10:00:00.000Z
1781519400,0.057,2026-06-15T10:30:00.000Z
1781521200,0.247,2026-06-15T11:00:00.000Z
1781523000,0.234,2026-06-15T11:30:00.000Z
1781524800,0.048,2026-06-15T12:00:00.000Z
1781526600,0.025,2026-06-15T12:30:00.000Z
1781528400,0.052,2026-06-15T13:00:00.000Z
1781530200,0.029,2026-06-15T13:30:00.000Z
1781532000,0.043,2026-06-15T14:00:00.000Z
1781533800,0.058,2026-06-15T14:30:00.000Z
1781535600,0.040,2026-06-15T15:00:00.000Z
1781537400,0.135,2026-06-15T15:30:00.000Z
1781539200,0.201,2026-06-15T16:00:00.000Z
1781541000,0.967,2026-06-15T16:30:00.000Z
1781542800,0.882,2026-06-15T17:00:00.000Z
1781544600,1.191,2026-06-15T17:30:00.000Z
1781546400,1.280,2026-06-15T18:00:00.000Z
1781548200,1.332,2026-06-15T18:30:00.000Z
1781550000,1.402,2026-06-15T19:00:00.000Z
1781551800,1.480,2026-06-15T19:30:00.000Z
1781553600,1.626,2026-06-15T20:00:00.000Z
1781555400,1.783,2026-06-15T20:30:00.000Z
1781557200,1.271,2026-06-15T21:00:00.000Z
1781559000,0.536,2026-06-15T21:30:00.000Z
1781560800,0.377,2026-06-15T22:00:00.000Z
1781562600,0.357,2026-06-15T22:30:00.000Z
1781564400,0.913,2026-06-15T23:00:00.000Z
1781566200,0.327,2026-06-15T23:30:00.000Z
1781568000,0.323,2026-06-16T00:00:00.000Z
1781569800,0.321,2026-06-16T00:30:00.000Z
1781571600,0.324,2026-06-16T01:00:00.000Z
1781573400,0.340,2026-06-16T01:30:00.000Z
1781575200,0.336,2026-06-16T02:00:00.000Z
1781577000,0.329,2026-06-16T02:30:00.000Z
1781578800,0.326,2026-06-16T03:00:00.000Z
1781580600,0.319,2026-06-16T03:30:00.000Z
1781582400,0.326,2026-06-16T04:00:00.000Z
1781584200,0.309,2026-06-16T04:30:00.000Z
1781586000,0.278,2026-06-16T05:00:00.000Z
1781587800,0.309,2026-06-16T05:30:00.000Z
1781589600,0.633,2026-06-16T06:00:00.000Z
1781591400,0.772,2026-06-16T06:30:00.000Z
1781593200,0.520,2026-06-16T07:00:00.000Z
1781595000,0.546,2026-06-16T07:30:00.000Z
1781596800,0.529,2026-06-16T08:00:00.000Z
1781598600,0.550,2026-06-16T08:30:00.000Z
1781600400,0.285,2026-06-16T09:00:00.000Z
1781602200,0.225,2026-06-16T09:30:00.000Z
1781604000,0.688,2026-06-16T10:00:00.000Z
1781605800,0.187,2026-06-16T10:30:00.000Z
1781607600,0.566,2026-06-16T11:00:00.000Z
1781609400,0.320,2026-06-16T11:30:00.000Z
1781611200,0.166,2026-06-16T12:00:00.000Z
1781613000,0.088,2026-06-16T12:30:00.000Z
1781614800,0.220,2026-06-16T13:00:00.000Z
1781616600,0.216,2026-06-16T13:30:00.000Z
1781618400,0.247,2026-06-16T14:00:00.000Z
1781620200,0.321,2026-06-16T14:30:00.000Z
1781622000,0.325,2026-06-16T15:00:00.000Z
1781623800,0.433,2026-06-16T15:30:00.000Z
1781625600,0.460,2026-06-16T16:00:00.000Z
1781627400,0.468,2026-06-16T16:30:00.000Z
1781629200,0.510,2026-06-16T17:00:00.000Z
1781631000,0.664,2026-06-16T17:30:00.000Z
1781632800,1.026,2026-06-16T18:00:00.000Z
1781634600,0.982,2026-06-16T18:30:00.000Z
1781636400,0.984,2026-06-16T19:00:00.000Z
1781638200,0.401,2026-06-16T19:30:00.000Z
1781640000,0.351,2026-06-16T20:00:00.000Z
1781641800,0.360,2026-06-16T20:30:00.000Z
1781643600,0.361,2026-06-16T21:00:00.000Z
1781645400,0.354,2026-06-16T21:30:00.000Z
1781647200,0.361,2026-06-16T22:00:00.000Z
1781649000,0.353,2026-06-16T22:30:00.000Z
1781650800,0.360,2026-06-16T23:00:00.000Z
1781652600,0.350,2026-06-16T23:30:00.000Z
1781654400,0.353,2026-06-17T00:00:00.000Z
1781656200,0.348,2026-06-17T00:30:00.000Z
1781658000,0.370,2026-06-17T01:00:00.000Z
1781659800,0.363,2026-06-17T01:30:00.000Z
1781661600,0.353,2026-06-17T02:00:00.000Z
1781663400,0.361,2026-06-17T02:30:00.000Z
1781665200,0.357,2026-06-17T03:00:00.000Z
1781667000,0.351,2026-06-17T03:30:00.000Z
1781668800,0.359,2026-06-17T04:00:00.000Z
1781670600,0.357,2026-06-17T04:30:00.000Z
1781672400,0.353,2026-06-17T05:00:00.000Z
1781674200,0.317,2026-06-17T05:30:00.000Z
1781676000,0.349,2026-06-17T06:00:00.000Z
1781677800,0.283,2026-06-17T06:30:00.000Z
1781679600,0.247,2026-06-17T07:00:00.000Z
1781681400,0.233,2026-06-17T07:30:00.000Z
1781683200,0.160,2026-06-17T08:00:00.000Z
1781685000,0.354,2026-06-17T08:30:00.000Z
1781686800,0.084,2026-06-17T09:00:00.000Z
1781688600,0.114,2026-06-17T09:30:00.000Z
1781690400,0.114,2026-06-17T10:00:00.000Z
1781692200,0.207,2026-06-17T10:30:00.000Z
1781694000,0.218,2026-06-17T11:00:00.000Z
1781695800,0.173,2026-06-17T11:30:00.000Z
1781697600,0.246,2026-06-17T12:00:00.000Z
1781699400,0.230,2026-06-17T12:30:00.000Z
1781701200,0.196,2026-06-17T13:00:00.000Z
1781703000,0.139,2026-06-17T13:30:00.000Z
1781704800,0.153,2026-06-17T14:00:00.000Z
1781706600,0.135,2026-06-17T14:30:00.000Z
1781708400,0.202,2026-06-17T15:00:00.000Z
1781710200,0.229,2026-06-17T15:30:00.000Z
1781712000,0.314,2026-06-17T16:00:00.000Z
1781713800,0.340,2026-06-17T16:30:00.000Z
1781715600,0.620,2026-06-17T17:00:00.000Z
1781717400,0.920,2026-06-17T17:30:00.000Z
1781719200,0.961,2026-06-17T18:00:00.000Z
1781721000,0.968,2026-06-17T18:30:00.000Z
1781722800,0.814,2026-06-17T19:00:00.000Z
1781724600,0.350,2026-06-17T19:30:00.000Z
1781726400,0.477,2026-06-17T20:00:00.000Z
1781728200,0.477,2026-06-17T20:30:00.000Z
1781730000,0.441,2026-06-17T21:00:00.000Z
1781731800,0.330,2026-06-17T21:30:00.000Z
1781733600,0.325,2026-06-17T22:00:00.000Z
1781735400,0.332,2026-06-17T22:30:00.000Z
1781737200,0.325,2026-06-17T23:00:00.000Z
1781739000,0.321,2026-06-17T23:30:00.000Z
1781740800,0.327,2026-06-18T00:00:00.000Z
1781742600,0.334,2026-06-18T00:30:00.000Z
1781744400,0.340,2026-06-18T01:00:00.000Z
1781746200,0.332,2026-06-18T01:30:00.000Z
1781748000,0.323,2026-06-18T02:00:00.000Z
1781749800,0.334,2026-06-18T02:30:00.000Z
1781751600,0.327,2026-06-18T03:00:00.000Z
1781753400,0.323,2026-06-18T03:30:00.000Z
1781755200,0.330,2026-06-18T04:00:00.000Z
1781757000,0.313,2026-06-18T04:30:00.000Z
1781758800,0.318,2026-06-18T05:00:00.000Z
1781760600,0.321,2026-06-18T05:30:00.000Z
1781762400,0.320,2026-06-18T06:00:00.000Z
1781764200,0.319,2026-06-18T06:30:00.000Z
1781766000,0.317,2026-06-18T07:00:00.000Z
1781767800,0.200,2026-06-18T07:30:00.000Z
1781769600,0.234,2026-06-18T08:00:00.000Z
1781771400,0.329,2026-06-18T08:30:00.000Z
1781773200,0.109,2026-06-18T09:00:00.000Z
1781775000,0.190,2026-06-18T09:30:00.000Z
1781776800,0.316,2026-06-18T10:00:00.000Z
1781778600,0.342,2026-06-18T10:30:00.000Z
1781780400,0.051,2026-06-18T11:00:00.000Z
1781782200,0.046,2026-06-18T11:30:00.000Z
1781784000,0.034,2026-06-18T12:00:00.000Z
1781785800,0.027,2026-06-18T12:30:00.000Z
1781787600,0.034,2026-06-18T13:00:00.000Z
1781789400,0.033,2026-06-18T13:30:00.000Z
1781791200,0.129,2026-06-18T14:00:00.000Z
1781793000,0.294,2026-06-18T14:30:00.000Z
1781794800,0.150,2026-06-18T15:00:00.000Z
1781796600,0.181,2026-06-18T15:30:00.000Z
1781798400,0.203,2026-06-18T16:00:00.000Z
1781800200,0.270,2026-06-18T16:30:00.000Z
1781802000,0.351,2026-06-18T17:00:00.000Z
1781803800,0.366,2026-06-18T17:30:00.000Z
1781805600,0.400,2026-06-18T18:00:00.000Z
1781807400,0.416,2026-06-18T18:30:00.000Z
1781809200,0.469,2026-06-18T19:00:00.000Z
1781811000,0.484,2026-06-18T19:30:00.000Z
1781812800,0.448,2026-06-18T20:00:00.000Z
1781814600,0.435,2026-06-18T20:30:00.000Z
1781816400,0.433,2026-06-18T21:00:00.000Z
1781818200,0.434,2026-06-18T21:30:00.000Z
1781820000,0.430,2026-06-18T22:00:00.000Z
1781821800,0.429,2026-06-18T22:30:00.000Z
1781823600,0.427,2026-06-18T23:00:00.000Z
1781825400,0.427,2026-06-18T23:30:00.000Z
1781827200,0.426,2026-06-19T00:00:00.000Z
1781829000,0.446,2026-06-19T00:30:00.000Z
1781830800,0.442,2026-06-19T01:00:00.000Z
1781832600,0.430,2026-06-19T01:30:00.000Z
1781834400,0.434,2026-06-19T02:00:00.000Z
1781836200,0.436,2026-06-19T02:30:00.000Z
1781838000,0.429,2026-06-19T03:00:00.000Z
1781839800,0.427,2026-06-19T03:30:00.000Z
1781841600,0.427,2026-06-19T04:00:00.000Z
1781843400,0.411,2026-06-19T04:30:00.000Z
1781845200,0.889,2026-06-19T05:00:00.000Z
1781847000,1.073,2026-06-19T05:30:00.000Z
1781848800,0.946,2026-06-19T06:00:00.000Z
1781850600,0.681,2026-06-19T06:30:00.000Z
1781852400,0.107,2026-06-19T07:00:00.000Z
1781854200,0.033,2026-06-19T07:30:00.000Z
1781856000,0.045,2026-06-19T08:00:00.000Z
1781857800,0.024,2026-06-19T08:30:00.000Z
1781859600,0.037,2026-06-19T09:00:00.000Z
1781861400,0.028,2026-06-19T09:30:00.000Z
1781863200,0.021,2026-06-19T10:00:00.000Z
1781865000,0.031,2026-06-19T10:30:00.000Z
1781866800,0.022,2026-06-19T11:00:00.000Z
1781868600,0.046,2026-06-19T11:30:00.000Z
1781870400,0.028,2026-06-19T12:00:00.000Z
1781872200,0.039,2026-06-19T12:30:00.000Z
1781874000,0.027,2026-06-19T13:00:00.000Z
1781875800,0.029,2026-06-19T13:30:00.000Z
1781877600,0.386,2026-06-19T14:00:00.000Z
1781879400,0.283,2026-06-19T14:30:00.000Z
1781881200,0.356,2026-06-19T15:00:00.000Z
1781883000,0.244,2026-06-19T15:30:00.000Z
1781884800,0.279,2026-06-19T16:00:00.000Z
1781886600,0.836,2026-06-19T16:30:00.000Z
1781888400,0.353,2026-06-19T17:00:00.000Z
1781890200,0.906,2026-06-19T17:30:00.000Z
1781892000,0.919,2026-06-19T18:00:00.000Z
1781893800,1.035,2026-06-19T18:30:00.000Z
1781895600,0.966,2026-06-19T19:00:00.000Z
1781897400,0.666,2026-06-19T19:30:00.000Z
1781899200,0.375,2026-06-19T20:00:00.000Z
1781901000,0.554,2026-06-19T20:30:00.000Z
1781902800,0.475,2026-06-19T21:00:00.000Z
1781904600,0.447,2026-06-19T21:30:00.000Z
1781906400,0.641,2026-06-19T22:00:00.000Z
1781908200,0.327,2026-06-19T22:30:00.000Z
1781910000,0.317,2026-06-19T23:00:00.000Z
1781911800,0.320,2026-06-19T23:30:00.000Z
1781913600,0.325,2026-06-20T00:00:00.000Z
1781915400,0.341,2026-06-20T00:30:00.000Z
1781917200,0.341,2026-06-20T01:00:00.000Z
1781919000,0.332,2026-06-20T01:30:00.000Z
1781920800,0.322,2026-06-20T02:00:00.000Z
1781922600,0.331,2026-06-20T02:30:00.000Z
1781924400,0.326,2026-06-20T03:00:00.000Z
1781926200,0.324,2026-06-20T03:30:00.000Z
1781928000,0.320,2026-06-20T04:00:00.000Z
1781929800,0.298,2026-06-20T04:30:00.000Z
1781931600,0.261,2026-06-20T05:00:00.000Z
1781933400,0.218,2026-06-20T05:30:00.000Z
1781935200,0.216,2026-06-20T06:00:00.000Z
1781937000,0.100,2026-06-20T06:30:00.000Z
1781938800,0.031,2026-06-20T07:00:00.000Z
1781940600,0.038,2026-06-20T07:30:00.000Z
1781942400,0.305,2026-06-20T08:00:00.000Z
1781944200,0.266,2026-06-20T08:30:00.000Z
1781946000,0.733,2026-06-20T09:00:00.000Z
1781947800,0.861,2026-06-20T09:30:00.000Z
1781949600,0.851,2026-06-20T10:00:00.000Z
1781951400,1.056,2026-06-20T10:30:00.000Z
1781953200,0.707,2026-06-20T11:00:00.000Z
1781955000,0.482,2026-06-20T11:30:00.000Z
1781956800,0.444,2026-06-20T12:00:00.000Z
1781958600,0.834,2026-06-20T12:30:00.000Z
1781960400,0.916,2026-06-20T13:00:00.000Z
1781962200,0.948,2026-06-20T13:30:00.000Z
1781964000,1.074,2026-06-20T14:00:00.000Z
1781965800,1.433,2026-06-20T14:30:00.000Z
1781967600,1.406,2026-06-20T15:00:00.000Z
1781969400,0.805,2026-06-20T15:30:00.000Z
1781971200,0.914,2026-06-20T16:00:00.000Z
1781973000,1.149,2026-06-20T16:30:00.000Z
1781974800,1.130,2026-06-20T17:00:00.000Z
1781976600,1.148,2026-06-20T17:30:00.000Z
1781978400,1.146,2026-06-20T18:00:00.000Z
1781980200,1.073,2026-06-20T18:30:00.000Z
1781982000,0.720,2026-06-20T19:00:00.000Z
1781983800,0.324,2026-06-20T19:30:00.000Z
1781985600,0.323,2026-06-20T20:00:00.000Z
1781987400,0.328,2026-06-20T20:30:00.000Z
1781989200,0.321,2026-06-20T21:00:00.000Z
1781991000,0.325,2026-06-20T21:30:00.000Z
